question,answer
Tên đăng ký tiếng Việt của VietinBank là gì?,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM
Tên đăng ký tiếng Anh của VietinBank là gì?,VIETNAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE
Tên giao dịch của VietinBank là gì?,VietinBank
Số giấy phép thành lập của VietinBank là số mấy?,Số 13/GP-NHNN do Ngân hàng Nhà nước cấp ngày 17/6/2022
Mã số doanh nghiệp của VietinBank là số mấy?,100111948
Vốn điều lệ của VietinBank là bao nhiêu?,48.057.506.090.000 đồng
Vốn chủ sở hữu của VietinBank là bao nhiêu (tại thời điểm 31/12/2022)?,108.157.657.000.000 đồng
Địa chỉ hội sở chính của VietinBank là ở đâu?,"108 Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam"
Số điện thoại của VietinBank là số mấy?,(84-24) 3942 1030
Số fax của VietinBank là số mấy?,(84-24) 3942 1032
Website của VietinBank là gì?,www.vietinbank.vn
Mã cổ phiếu của VietinBank là gì?,CTG
Sứ mệnh của VietinBank là gì?,"Là ngân hàng tiên phong trong phát triển đất nước trên cơ sở mang lại giá trị tối ưu cho khách hàng, cổ đông, người lao động, đối tác và cộng đồng."
Tầm nhìn của VietinBank là gì?,"Ngân hàng đa năng, hiện đại, hiệu quả hàng đầu tại Việt Nam, đến năm 2030 thuộc Top 20 ngân hàng mạnh nhất Khu vực Châu Á - Thái Bình Dương. - Đến năm 2045 là ngân hàng mạnh nhất và uy tín nhất Việt Nam, hàng đầu Khu vực Châu Á - Thái Bình Dương và uy tín cao trên thế giới."
Triết lý hoạt động của VietinBank là gì?,"VietinBank là ngân hàng thương mại quốc gia Việt Nam, đóng vai trò trụ cột và chủ lực của nền kinh tế, đồng hành và phụng sự cho sự phát triển của đất nước. VietinBank luôn lấy AN TOÀN - HIỆU QUẢ - BỀN VỮNG là mục tiêu phát triển trong mọi thời kỳ, trên cơ cở thực hành tốt 3 triết lý hoạt động: Khách hàng là trung tâm, Phát triển con người là then chốt, Đổi mới sáng tạo là đột phá."
Giá trị cốt lõi của VietinBank là gì?,"VietinBank là tập hợp những con người ưu tú, dám thách thức bản thân, vượt qua chính mình, sẵn sàng xông pha, cùng hợp lực, kiến tạo ra các giá trị mới, tiên phong vì khát vọng tầm cao mới. Hệ giá trị cốt lõi của người VietinBank gồm 5 giá trị: Chính trực, Trí tuệ, Tận tâm, Thấu cảm, Thích ứng."
Hoạt động chính của Ngân hàng TMCP Công Thương Việt Nam là gì?,"Ngân hàng TMCP Công Thương Việt Nam thực hiện các giao dịch ngân hàng như huy động và nhận tiền gửi, cho vay, thanh toán, giao dịch ngoại tệ, chiết khấu thương phiếu, và các dịch vụ ngân hàng khác."
Ngân hàng TMCP Công Thương Việt Nam có địa bàn hoạt động ở đâu?,"Ngân hàng TMCP Công Thương Việt Nam có trụ sở chính tại số 108 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội. Ngoài ra, họ có 155 chi nhánh trên 63 tỉnh, thành phố, 02 Văn phòng Đại diện ở Thành phố Hồ Chí Minh và Thành phố Đà Nẵng, cùng nhiều trung tâm và phòng giao dịch khác."
Ngân hàng TMCP Công Thương Việt Nam có quan hệ với bao nhiêu ngân hàng đại lý trên thế giới?,VietinBank có quan hệ với hơn 1.000 ngân hàng đại lý tại gần 100 quốc gia và vùng lãnh thổ trên thế giới.
